interest_id,user_id,ctor_sms_fashion,ctor_sms_fnb,ctor_sms_travel,ctor_sms_electronic,ctor_sms_lifestyle,ctor_email_fashion,ctor_email_fnb,ctor_email_travel,ctor_email_electronic,ctor_email_lifestyle,ctor_push_notif_fashion,ctor_push_notif_fnb,ctor_push_notif_travel,ctor_push_notif_electronic,ctor_push_notif_lifestyle,acquisition_cost
1,LB0001,0.9,0,0,0,0,0,0.8,0,0,0,0,0.4,0,0,0,400000
2,LB0002,0.1,0.9,0.9,0,0,0,0.8,0,0,0,0,0.4,0,0,0,450000
3,LB0003,0.1,0,0,0.4,0,0,0,0,0.8,0,0,0,0,0.9,0,450000
4,LB0004,0.1,0,0,0,0,0,0,0.9,0,0,0,0,0.8,0,0,450000
5,LB0005,0.1,0.9,0.9,0,0,0,0.8,0,0,0,0,0.4,0,0,0,450000
6,LB0006,0.1,0.9,0.9,0,0,0,0.8,0,0,0,0,0.4,0,0,0,450000
7,LB0007,0.1,0.4,0.4,0,0,0,0.8,0,0,0,0,0.9,0,0,0,450000
8,LB0008,0.1,0.9,0.9,0,0,0,0.8,0,0,0,0,0.4,0,0,0,450000
9,LB0009,0.8,0,0,0,0,0.5,0,0,0,0,0.4,0.1,0,0,0,450000
10,LB0010,0.8,0,0,0,0,0.5,0,0,0,0,0.4,0.1,0,0,0,450000
11,LB0011,0,0,0,0.2,0,0,0,0,1,0,0,0,0,0.7,0,450000
12,LB0012,0,0,0,0,0.4,0,0,0,0,0.9,0,0,0,0,0.2,450000
13,LB0013,0,0,0,0,0.1,0,0,0,0,0.4,0,0,0,0,0.9,450000
14,LB0014,0.4,0,0,0,0,0.9,0,0,0,0,0.4,0.1,0,0,0,450000
15,LB0015,0.4,0,0,0,0,0.9,0,0,0,0,0.4,0.1,0,0,0,450000
16,LB0016,0,0,0,0.9,0,0,0,0,0.4,0,0,0,0,0.5,0,450000
17,LB0017,0,0,0,0.9,0,0,0,0,0.4,0,0,0,0,0.5,0,450000
18,LB0018,0.1,0.9,0.9,0,0,0,0.8,0,0,0,0,0.4,0,0,0,450000
19,LB0019,0,0,0,0,0,0,0,0.9,0,0,0,0,0.5,0,0.2,450000
20,LB0020,0,0,0,0,0,0,0,0.9,0,0,0,0,1,0,0,450000
21,LB0021,0,0,0,0,0,0,0,0.9,0,0,0,0,1,0,0,450000
22,LB0022,0,0,0,0,0,0,0,0.4,0,0,0,0,1,0,0,450000
23,LB0023,0,0,0,0,0.6,0,0,0,0,0.4,0,0,0,0,0.9,450000
24,LB0024,0.1,0.9,0.9,0,0,0,0.8,0,0,0,0,0.4,0,0,0,450000
25,LB0025,0.1,0.9,0.9,0,0,0,0.4,0,0,0,0,0.7,0,0,0,450000
26,LB0026,0,0,0,0.4,0,0,0,0,0.9,0,0,0,0,0.7,0,450000
27,LB0027,0,0,0,0.4,0,0,0,0,0.9,0,0,0,0,0.7,0,450000
29,LB0029,0.9,0,0,0,0,0.9,0,0,0,0,1,0,0,0,0,450000
28,LB0028,0.4,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,450000
30,LB0030,0.1,0.9,0.9,0,0,0,0.8,0,0,0,0,0.4,0,0,0,450000
31,LB0031,0,0,0,0,0,0,0,0.9,0,0,0,0,1,0,0,450000
32,LB0032,0,0,0,0,0,0,0,0.9,0,0,0,0,1,0,0,450000
