trx_id,user_id,purchase_fashion,purchase_fnb,purchase_travel,purchase_electronic,purchase_lifestyle,total_amount
TR0001,LB0001,0,2,0,0,0,100000
TR0002,LB0002,1,2,0,0,0,75000
TR0003,LB0003,0,0,0,2,0,1200000
TR0004,LB0004,0,0,1,0,0,1500000
TR0005,LB0005,1,2,0,0,0,75000
TR0006,LB0006,1,2,0,0,0,75000
TR0007,LB0007,1,2,0,0,0,75000
TR0008,LB0008,0,2,0,0,0,100000
TR0009,LB0009,1,0,0,0,0,200000
TR0010,LB0010,1,0,0,0,0,200000
TR0011,LB0011,0,0,0,2,0,15150000
TR0012,LB0012,0,0,0,0,1,450000
TR0013,LB0013,0,0,0,0,1,280000
TR0014,LB0014,1,0,0,0,0,200000
TR0015,LB0015,1,0,0,0,0,1000000
TR0016,LB0016,0,0,0,1,0,750000
TR0017,LB0017,0,0,0,1,0,500000
TR0018,LB0018,1,2,0,0,0,75000
TR0019,LB0019,0,0,1,0,0,3000000
TR0020,LB0020,0,0,1,0,0,2600000
TR0021,LB0021,0,0,1,0,0,1900000
TR0022,LB0022,0,0,1,0,0,1100000
TR0023,LB0023,0,0,0,0,1,300000
TR0024,LB0024,1,2,0,0,0,75000
TR0025,LB0025,1,2,0,0,0,135000
TR0026,LB0026,0,0,0,1,0,4500000
TR0027,LB0027,0,0,0,2,0,1500000
TR0028,LB0028,1,0,0,0,0,2000000
TR0029,LB0029,1,0,0,0,0,2500000
TR0030,LB0030,0,2,0,0,0,60000
TR0031,LB0031,0,0,1,0,0,350000
TR0032,LB0032,0,0,1,0,0,142000
